id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,Batting_first,BF_Set,BF_wkts_fallen,BF_HScorer,BF_PlayerScored,BF_PlayerBallsfaced,BF_HWtaker,BF_HWballs,PDis_by_BF,RC_by_BF,Batting_second,BS_score,BS_wkts_fallen,BS_HScorer,BS_PlayerScored,BS_PlayerBallsfaced,BS_HWtaker,BS_HWballs,PDis_by_BS,RC_by_BS
207,2010,Mumbai,2010-04-03,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,normal,0,Mumbai Indians,63,0,AT Rayudu,Brabourne Stadium,BR Doctrove,S Ravi,Mumbai Indians,178,5,AT Rayudu,55,30,Z Khan,12.0,2.0,10.0,Deccan Chargers,115.0,10.0,A Symonds,21.0,19.0,PP Ojha,24,3,27
208,2010,Kolkata,2010-04-04,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Kings XI Punjab,0,8,DPMD Jayawardene,Eden Gardens,S Asnani,DJ Harper,Kolkata Knight Riders,200,3,CH Gayle,88,44,SE Bond,25.0,1.0,33.0,Kings XI Punjab,204.0,2.0,DPMD Jayawardene,110.0,61.0,IK Pathan,25,1,36
209,2010,Delhi,2010-04-04,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,normal,0,Delhi Capitals,37,0,PD Collingwood,Feroz Shah Kotla,BF Bowden,M Erasmus,Delhi Capitals,184,5,PD Collingwood,75,47,PJ Sangwan,24.0,3.0,22.0,Royal Challengers Bangalore,147.0,9.0,JH Kallis,54.0,42.0,KP Appanna,24,2,24
210,2010,Nagpur,2010-04-05,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,normal,0,Rajasthan Royals,2,0,SK Warne,"Vidarbha Cricket Association Stadium, Jamtha",HDPK Dharmasena,SJA Taufel,Rajasthan Royals,159,10,SR Watson,58,38,SK Trivedi,18.0,4.0,16.0,Deccan Chargers,157.0,10.0,RG Sharma,73.0,44.0,RP Singh,25,3,21
211,2010,Chennai,2010-04-06,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,24,0,SK Raina,"MA Chidambaram Stadium, Chepauk",S Asnani,DJ Harper,Chennai Super Kings,165,4,ML Hayden,35,33,T Thushara,18.0,2.0,16.0,Mumbai Indians,141.0,9.0,SR Tendulkar,45.0,35.0,KA Pollard,24,2,27
212,2010,Jaipur,2010-04-07,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Rajasthan Royals,0,9,MJ Lumb,Sawai Mansingh Stadium,S Ravi,SK Tarapore,Kings XI Punjab,153,6,DPMD Jayawardene,44,35,RS Bopara,14.0,1.0,19.0,Rajasthan Royals,157.0,1.0,MJ Lumb,83.0,45.0,SK Trivedi,25,2,22
213,2010,Kolkata,2010-04-07,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,14,0,SC Ganguly,Eden Gardens,BG Jerling,RE Koertzen,Kolkata Knight Riders,181,3,SC Ganguly,56,50,AB Dinda,25.0,3.0,22.0,Delhi Capitals,167.0,8.0,V Sehwag,64.0,43.0,DL Vettori,25,2,31
214,2010,Bangalore,2010-04-08,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,7,TL Suman,M Chinnaswamy Stadium,S Asnani,DJ Harper,Royal Challengers Bangalore,184,6,JH Kallis,68,49,A Kumble,25.0,1.0,38.0,Deccan Chargers,186.0,3.0,TL Suman,78.0,59.0,PP Ojha,24,2,24
215,2010,Chandigarh,2010-04-09,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,Kings XI Punjab,0,6,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",M Erasmus,AM Saheba,Mumbai Indians,154,9,JP Duminy,35,29,SL Malinga,24.0,2.0,36.0,Kings XI Punjab,158.0,4.0,KC Sangakkara,56.0,42.0,L Ablish,13,3,18
216,2010,Nagpur,2010-04-10,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Deccan Chargers,0,6,RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha",HDPK Dharmasena,SJA Taufel,Chennai Super Kings,138,8,SK Raina,52,43,R Ashwin,25.0,2.0,14.0,Deccan Chargers,139.0,4.0,TL Suman,55.0,44.0,RJ Harris,24,3,20
217,2010,Bangalore,2010-04-10,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,R Vinay Kumar,M Chinnaswamy Stadium,K Hariharan,DJ Harper,Kolkata Knight Riders,160,9,BB McCullum,45,38,AB Dinda,19.0,2.0,15.0,Royal Challengers Bangalore,162.0,3.0,R Dravid,52.0,35.0,R Vinay Kumar,19,4,23
218,2010,Delhi,2010-04-11,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,normal,0,Kings XI Punjab,0,7,PP Chawla,Feroz Shah Kotla,BF Bowden,AM Saheba,Delhi Capitals,111,10,G Gambhir,26,15,PD Collingwood,24.0,2.0,19.0,Kings XI Punjab,112.0,3.0,DPMD Jayawardene,38.0,35.0,IK Pathan,25,3,25
219,2010,Jaipur,2010-04-11,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,37,0,SR Tendulkar,Sawai Mansingh Stadium,BR Doctrove,SK Tarapore,Mumbai Indians,174,5,SR Tendulkar,89,62,Z Khan,24.0,3.0,18.0,Rajasthan Royals,137.0,8.0,AP Dole,30.0,19.0,SR Watson,25,3,37
220,2010,Nagpur,2010-04-12,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,13,0,Harmeet Singh,"Vidarbha Cricket Association Stadium, Jamtha",RE Koertzen,RB Tiffin,Deccan Chargers,151,6,RG Sharma,51,47,RJ Harris,25.0,3.0,34.0,Royal Challengers Bangalore,138.0,10.0,R Dravid,49.0,36.0,DW Steyn,26,3,20
221,2010,Mumbai,2010-04-13,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,normal,0,Mumbai Indians,39,0,KA Pollard,Brabourne Stadium,S Asnani,DJ Harper,Mumbai Indians,183,4,KA Pollard,45,13,AG Murtaza,24.0,3.0,20.0,Delhi Capitals,144.0,7.0,AB McDonald,33.0,31.0,PJ Sangwan,28,2,35
222,2010,Chennai,2010-04-13,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,9,R Ashwin,"MA Chidambaram Stadium, Chepauk",SS Hazare,SJA Taufel,Kolkata Knight Riders,139,8,AD Mathews,48,51,CH Gayle,20.0,1.0,35.0,Chennai Super Kings,143.0,1.0,SK Raina,78.0,41.0,R Ashwin,25,3,20
223,2010,Jaipur,2010-04-14,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Royal Challengers Bangalore,0,5,KP Pietersen,Sawai Mansingh Stadium,BR Doctrove,S Ravi,Rajasthan Royals,130,6,AS Raut,32,20,Kamran Khan,18.0,2.0,30.0,Royal Challengers Bangalore,132.0,5.0,KP Pietersen,62.0,29.0,Pankaj Singh,24,2,27
224,2010,Chennai,2010-04-15,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,normal,0,Delhi Capitals,0,6,G Gambhir,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,SS Hazare,Chennai Super Kings,112,9,S Badrinath,30,30,DE Bollinger,25.0,2.0,24.0,Delhi Capitals,113.0,4.0,G Gambhir,57.0,57.0,A Nehra,24,3,26
225,2010,Dharamsala,2010-04-16,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,5,RG Sharma,Himachal Pradesh Cricket Association Stadium,M Erasmus,AM Saheba,Kings XI Punjab,174,3,DPMD Jayawardene,93,65,Yuvraj Singh,12.0,1.0,22.0,Deccan Chargers,178.0,5.0,RG Sharma,68.0,39.0,R Sharma,19,1,19
226,2010,Bangalore,2010-04-17,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,57,0,R McLaren,M Chinnaswamy Stadium,HDPK Dharmasena,SJA Taufel,Mumbai Indians,191,4,AT Rayudu,46,29,KA Pollard,26.0,3.0,28.0,Royal Challengers Bangalore,134.0,9.0,V Kohli,37.0,24.0,JH Kallis,25,2,41
227,2010,Kolkata,2010-04-17,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Kolkata Knight Riders,0,8,JD Unadkat,Eden Gardens,BG Jerling,RB Tiffin,Rajasthan Royals,132,9,SR Watson,44,26,Kamran Khan,14.0,2.0,13.0,Kolkata Knight Riders,133.0,2.0,SC Ganguly,75.0,54.0,AB Dinda,24,3,24
228,2010,Dharamsala,2010-04-18,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,MS Dhoni,Himachal Pradesh Cricket Association Stadium,BF Bowden,AM Saheba,Kings XI Punjab,192,3,SE Marsh,88,59,RR Powar,25.0,2.0,28.0,Chennai Super Kings,195.0,4.0,MS Dhoni,54.0,29.0,R Ashwin,24,1,20
229,2010,Delhi,2010-04-18,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,normal,0,Deccan Chargers,11,0,A Symonds,Feroz Shah Kotla,BR Doctrove,SK Tarapore,Deccan Chargers,145,7,A Symonds,54,30,PP Ojha,24.0,2.0,16.0,Delhi Capitals,134.0,7.0,PD Collingwood,51.0,43.0,UT Yadav,25,3,25
230,2010,Kolkata,2010-04-19,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,0,9,M Kartik,Eden Gardens,BG Jerling,RE Koertzen,Mumbai Indians,133,8,SS Tiwary,46,38,R Sathish,13.0,1.0,11.0,Kolkata Knight Riders,135.0,1.0,BB McCullum,57.0,61.0,AB Dinda,25,2,22
231,2010,Mumbai,2010-04-21,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Mumbai Indians,35,0,KA Pollard,Dr DY Patil Sports Academy,BR Doctrove,RB Tiffin,Mumbai Indians,184,5,SS Tiwary,52,31,KA Pollard,26.0,4.0,17.0,Royal Challengers Bangalore,149.0,9.0,LRPL Taylor,31.0,32.0,DW Steyn,27,3,43
232,2010,Mumbai,2010-04-22,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Chennai Super Kings,38,0,DE Bollinger,Dr DY Patil Sports Academy,BR Doctrove,RB Tiffin,Chennai Super Kings,142,7,S Badrinath,37,41,DE Bollinger,24.0,4.0,14.0,Deccan Chargers,104.0,10.0,A Symonds,23.0,23.0,RJ Harris,25,3,31
233,2010,Mumbai,2010-04-24,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Royal Challengers Bangalore,0,9,A Kumble,Dr DY Patil Sports Academy,RE Koertzen,SJA Taufel,Deccan Chargers,82,10,Anirudh Singh,40,42,R Sharma,18.0,1.0,25.0,Royal Challengers Bangalore,86.0,1.0,R Dravid,35.0,30.0,A Kumble,21,4,16
234,2010,Mumbai,2010-04-25,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,22,0,SK Raina,Dr DY Patil Sports Academy,RE Koertzen,SJA Taufel,Chennai Super Kings,168,5,SK Raina,57,37,JA Morkel,19.0,2.0,20.0,Mumbai Indians,146.0,9.0,SR Tendulkar,48.0,49.0,CRD Fernando,26,2,25
235,2011,Chennai,2011-04-08,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,2,0,S Anirudha,"MA Chidambaram Stadium, Chepauk",BR Doctrove,PR Reiffel,Chennai Super Kings,153,4,S Anirudha,64,56,SK Raina,6.0,2.0,3.0,Kolkata Knight Riders,151.0,7.0,JH Kallis,54.0,44.0,JH Kallis,18,2,34
236,2011,Hyderabad,2011-04-09,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,SK Trivedi,"Rajiv Gandhi International Stadium, Uppal",RE Koertzen,SK Tarapore,Deccan Chargers,137,8,DB Ravi Teja,28,20,DW Steyn,25.0,2.0,18.0,Rajasthan Royals,141.0,2.0,J Botha,67.0,47.0,SK Trivedi,24,3,15
