Player,Team,Batting Innings,Runs,Bowling Innings,Wickets
PA Patel,Kochi Tuskers Kerala,13.0,202.0,0.0,0.0
KM Jadhav,Chennai Super Kings,13.0,198.0,0.0,0.0
SK Warne,Rajasthan Royals,27.0,198.0,54.0,57.0
SP Fleming,Chennai Super Kings,10.0,196.0,0.0,0.0
JR Hopes,Delhi Capitals,8.0,196.0,9.0,7.0
UBT Chand,Delhi Capitals,13.0,196.0,0.0,0.0
AS Raut,Rajasthan Royals,16.0,194.0,5.0,0.0
PA Patel,Deccan Chargers,12.0,194.0,0.0,0.0
BJ Rohrer,Delhi Capitals,8.0,193.0,1.0,0.0
Salman Butt,Kolkata Knight Riders,7.0,193.0,0.0,0.0
A Mishra,Delhi Capitals,32.0,191.0,92.0,96.0
MR Marsh,Pune Warriors,11.0,190.0,12.0,14.0
R Ashwin,Chennai Super Kings,30.0,190.0,94.0,90.0
C Ingram,Delhi Capitals,12.0,187.0,0.0,0.0
C de Grandhomme,Royal Challengers Bangalore,12.0,187.0,10.0,2.0
PP Chawla,Kolkata Knight Riders,26.0,186.0,69.0,65.0
SN Khan,Kings XI Punjab,5.0,184.0,1.0,0.0
FY Fazal,Rajasthan Royals,11.0,183.0,2.0,0.0
AA Jhunjhunwala,Rajasthan Royals,10.0,183.0,5.0,0.0
P Kumar,Royal Challengers Bangalore,23.0,181.0,38.0,34.0
AC Voges,Rajasthan Royals,7.0,181.0,7.0,0.0
LRPL Taylor,Rajasthan Royals,11.0,181.0,1.0,0.0
GJ Maxwell,Delhi Capitals,14.0,180.0,12.0,6.0
MF Maharoof,Delhi Capitals,14.0,177.0,20.0,27.0
N Pooran,Kings XI Punjab,6.0,177.0,0.0,0.0
M Kaif,Rajasthan Royals,14.0,176.0,0.0,0.0
AD Mathews,Delhi Capitals,12.0,176.0,12.0,7.0
SS Tiwary,Rising Pune Supergiant,7.0,170.0,0.0,0.0
DH Yagnik,Rajasthan Royals,17.0,170.0,0.0,0.0
R Parag,Rajasthan Royals,5.0,169.0,7.0,2.0
MN van Wyk,Kolkata Knight Riders,5.0,167.0,0.0,0.0
MD Mishra,Deccan Chargers,11.0,166.0,0.0,0.0
MC Henriques,Royal Challengers Bangalore,9.0,165.0,8.0,7.0
CL White,Royal Challengers Bangalore,13.0,162.0,2.0,0.0
AB Agarkar,Kolkata Knight Riders,15.0,160.0,27.0,18.0
R Bhatia,Kolkata Knight Riders,22.0,159.0,43.0,32.0
P Negi,Royal Challengers Bangalore,16.0,157.0,18.0,20.0
A Hales,Sunrisers Hyderabad,6.0,152.0,0.0,0.0
R Ashwin,Kings XI Punjab,14.0,151.0,28.0,25.0
DJ Hooda,Rajasthan Royals,9.0,151.0,7.0,1.0
C Munro,Delhi Capitals,8.0,150.0,0.0,0.0
NLTC Perera,Rising Pune Supergiant,10.0,150.0,11.0,9.0
AM Rahane,Mumbai Indians,9.0,148.0,1.0,1.0
K Gowtham,Rajasthan Royals,17.0,148.0,22.0,11.0
SM Pollock,Mumbai Indians,8.0,147.0,13.0,11.0
Mohammad Nabi,Sunrisers Hyderabad,10.0,146.0,13.0,11.0
S Vidyut,Chennai Super Kings,8.0,145.0,1.0,1.0
RS Bopara,Sunrisers Hyderabad,8.0,145.0,7.0,6.0
WP Saha,Chennai Super Kings,6.0,144.0,0.0,0.0
SP Goswami,Royal Challengers Bangalore,6.0,143.0,0.0,0.0
CA Pujara,Royal Challengers Bangalore,10.0,143.0,0.0,0.0
CJ Anderson,Delhi Capitals,11.0,142.0,8.0,3.0
KD Karthik,Royal Challengers Bangalore,11.0,141.0,0.0,0.0
STR Binny,Royal Challengers Bangalore,12.0,141.0,15.0,5.0
AJ Finch,Kings XI Punjab,9.0,140.0,0.0,0.0
N Saini,Kings XI Punjab,10.0,140.0,0.0,0.0
BB McCullum,Royal Challengers Bangalore,6.0,138.0,0.0,0.0
R Sathish,Mumbai Indians,13.0,137.0,8.0,2.0
A Symonds,Mumbai Indians,9.0,135.0,3.0,1.0
Sachin Baby,Royal Challengers Bangalore,9.0,134.0,2.0,2.0
S Anirudha,Chennai Super Kings,11.0,133.0,0.0,0.0
MJ Guptill,Kings XI Punjab,7.0,132.0,0.0,0.0
R Dhawan,Kings XI Punjab,12.0,132.0,20.0,16.0
MN Samuels,Pune Warriors,10.0,132.0,9.0,9.0
JP Faulkner,Gujarat Lions,11.0,131.0,15.0,8.0
W Jaffer,Royal Challengers Bangalore,8.0,130.0,0.0,0.0
Kamran Akmal,Rajasthan Royals,6.0,128.0,0.0,0.0
